,Job_Title,Company,Location,Salary
255,Software Engineer,EZOPS Inc,"San Francisco, CA",80000.0
258,Research Associate,Reach3 Insights,"San Francisco, CA",52500.0
260,Full-Time Jr. Software Engineer at Venture Backed Startup in...,Robin Healthcare,"Berkeley, CA 94704",70000.0
261,Autonomous Driving Perception Software Engineer,Visteon Corporation,"San Francisco, CA",114500.0
262,Full Stack Software Engineer,Grokker,"San Francisco Bay Area, CA",125000.0
263,Software Engineer,Sphere,"San Francisco, CA",110000.0
264,Summer 2019 - Software Programmer Intern,Synopsys,"Mountain View, CA 94043",70000.0
265,"Software Engineer, Backend (Multiple levels)",The Climate Corporation,"San Francisco, CA",137000.0
266,Software Developer - Back End - San Francisco,Bind Benefits,"San Francisco, CA 94103 (South Of Market area)",134000.0
267,Data Scientist,Blueshift,"San Francisco, CA 94104 (Financial District area)",154500.0
268,Software Engineer,ReCharge Technologies Corporation,"San Francisco, CA 94132 (Lakeshore area)",144000.0
269,Software Engineer,Excorcan,"San Francisco, CA",175000.0
270,Software Developer,System1 Biosciences,"San Francisco, CA",131000.0
271,Software Engineer 2,Intuit,"Mountain View, CA 94039",129500.0
